POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
5.999732,1.873898,0.621816,1.029705,0.577388,2.122892,2.90836,0.692333,0.289392,0.195649,2.076445,1.454824,0.311511,0.23713,0.179233,2.10973,2.744309,0.501478,0.235281,0.193889,5.016207,0.827656,0.533948,0.361992,0.284857,4.505146,0.863294,0.503661,0.23895,0.283555,2.741648,0.591341,0.545766,0.386675,0.316069,5.493587,1.534206,0.837535,1.093623,1.358888,concentrate
5.849082,2.153657,0.589918,0.993575,0.554268,2.326024,3.185862,0.666755,0.318367,0.188281,2.224255,1.55401,0.333798,0.257375,0.1854,2.326674,2.990271,0.536368,0.247896,0.178537,5.560392,0.801569,0.543402,0.361023,0.273394,4.38232,0.95761,0.539071,0.256423,0.264646,3.209265,0.56305,0.604456,0.374432,0.298476,5.683104,1.511361,0.863462,1.111757,1.345742,concentrate
5.872088,2.513065,0.518018,0.982029,0.524556,2.501848,3.345278,0.610589,0.377494,0.181935,2.276007,1.669163,0.326701,0.282751,0.186833,2.488441,3.197789,0.548602,0.286974,0.162664,6.384787,0.946211,0.546567,0.392217,0.247021,4.303786,1.174434,0.547083,0.273329,0.237944,3.754758,0.654833,0.638292,0.387913,0.263571,5.712358,1.541223,0.883478,1.152827,1.240808,concentrate
6.032523,2.861902,0.422026,1.019,0.496495,2.594559,3.270373,0.516649,0.445861,0.176067,2.236028,1.759194,0.290943,0.302687,0.181925,2.54165,3.242467,0.522003,0.337026,0.148127,7.403901,1.125303,0.552495,0.442081,0.213696,4.286764,1.412868,0.534956,0.282745,0.208551,4.351064,0.76702,0.642313,0.415571,0.220858,5.704127,1.583934,0.897277,1.217742,1.087771,concentrate
6.354927,3.141522,0.327014,1.102481,0.475038,2.547056,2.925616,0.397235,0.497685,0.171434,2.126623,1.770375,0.236004,0.30845,0.171076,2.44944,3.045346,0.455621,0.377915,0.136874,8.363508,1.237126,0.575747,0.492519,0.184994,4.285714,1.577967,0.51497,0.282509,0.184193,4.906433,0.842354,0.630249,0.445452,0.181232,5.747985,1.630487,0.916191,1.305295,0.938518,concentrate
6.694012,3.295774,0.264197,1.209055,0.460708,2.336004,2.395997,0.281418,0.515406,0.171123,1.968118,1.667828,0.176601,0.299026,0.156826,2.202722,2.625432,0.36812,0.395052,0.130214,8.938441,1.242592,0.625166,0.527752,0.169939,4.243032,1.603978,0.492473,0.273186,0.16986,5.271874,0.868162,0.622279,0.470686,0.153186,5.872409,1.685355,0.94868,1.409176,0.831841,concentrate
6.964149,3.2725,0.251351,1.301505,0.450063,2.007892,1.893459,0.19601,0.494583,0.177994,1.786713,1.49337,0.130607,0.279947,0.142582,1.86551,2.137306,0.286413,0.384864,0.1279,8.84778,1.166877,0.688439,0.539773,0.170281,4.11462,1.488833,0.467706,0.258491,0.166009,5.317667,0.861871,0.627902,0.488324,0.139627,6.081137,1.759904,0.982994,1.512043,0.782511,concentrate
7.441155,3.033304,0.300537,1.344098,0.438423,1.689555,1.659455,0.146269,0.443877,0.192737,1.629327,1.357656,0.105472,0.260274,0.131322,1.557076,1.808992,0.226988,0.354688,0.128986,8.046258,1.06213,0.737934,0.52922,0.180552,3.854676,1.28233,0.438745,0.244868,0.169811,5.000613,0.854697,0.641464,0.496604,0.13814,6.265448,1.86259,1.010108,1.5854,0.78109,concentrate
8.250321,2.609087,0.411995,1.322219,0.424121,1.502305,1.837023,0.126045,0.379424,0.212829,1.545809,1.37647,0.101198,0.248085,0.124525,1.382735,1.816061,0.19204,0.316742,0.132594,6.701344,0.967818,0.747981,0.507655,0.193222,3.456299,1.06969,0.413582,0.241378,0.177812,4.374454,0.869235,0.6523,0.497357,0.144179,6.351503,1.994864,1.028126,1.596492,0.805614,concentrate
9.889123,2.100251,0.571149,1.248973,0.412548,1.511489,2.379974,0.126956,0.31738,0.233241,1.561633,1.580258,0.111524,0.246854,0.122527,1.391944,2.165261,0.171374,0.281816,0.138655,5.206065,0.904672,0.709644,0.492463,0.203585,2.998228,0.936391,0.397209,0.257759,0.187625,3.609413,0.916195,0.659633,0.495123,0.154864,6.334605,2.159766,1.02946,1.524642,0.839885,concentrate
12.152769,1.660032,0.754247,1.153387,0.414483,1.745207,3.094891,0.146571,0.266706,0.249582,1.667054,1.901949,0.13187,0.254536,0.125196,1.574821,2.709873,0.157694,0.256278,0.147971,3.918247,0.915078,0.635592,0.49928,0.212277,2.571701,0.924933,0.391586,0.300708,0.197554,2.895089,1.014261,0.674498,0.493345,0.170541,6.252707,2.360164,1.009151,1.388398,0.886024,concentrate
14.765149,1.42823,0.947565,1.079876,0.440256,2.213641,3.739278,0.195608,0.230069,0.262118,1.846081,2.221619,0.169194,0.266687,0.13192,1.90248,3.235254,0.168752,0.242754,0.161026,3.196214,1.060193,0.556782,0.531029,0.224053,2.335186,1.02349,0.399235,0.367128,0.20743,2.443059,1.19308,0.713628,0.49153,0.193935,6.162892,2.585901,0.984795,1.242218,0.959818,concentrate
16.705286,1.441174,1.156068,1.06387,0.49575,2.901243,4.109433,0.289583,0.207305,0.274205,2.081721,2.411611,0.232433,0.279496,0.141164,2.335454,3.543537,0.235468,0.241404,0.176764,3.136735,1.384269,0.512435,0.581004,0.244091,2.364657,1.175133,0.426446,0.445663,0.218035,2.359775,1.477354,0.79014,0.486304,0.226764,6.082781,2.781845,1.00313,1.14358,1.072703,concentrate
17.512268,1.633681,1.379901,1.113816,0.580089,3.740208,4.136603,0.431233,0.200699,0.288679,2.337741,2.413101,0.322545,0.291012,0.150245,2.817949,3.562387,0.372855,0.252546,0.192306,3.581638,1.897415,0.525871,0.643493,0.274148,2.631162,1.315899,0.47659,0.523127,0.230306,2.583831,1.872697,0.892756,0.475576,0.266421,5.971925,2.897491,1.098652,1.12429,1.213341,concentrate
16.76231,1.903158,1.60537,1.212182,0.68032,4.609417,3.9172,0.599605,0.213407,0.304431,2.59254,2.272661,0.424536,0.299495,0.156317,3.297391,3.377687,0.561438,0.275969,0.202912,4.193055,2.530682,0.593654,0.712874,0.310378,3.001861,1.398647,0.547738,0.584652,0.244286,2.958238,2.335737,0.99178,0.46013,0.305103,5.771541,2.895516,1.264408,1.175795,1.350985,concentrate
14.399844,2.148018,1.782324,1.322387,0.77445,5.303767,3.628251,0.746242,0.244622,0.317373,2.776246,2.096144,0.507905,0.304008,0.158739,3.673365,3.159965,0.745501,0.307685,0.205405,4.639712,3.128381,0.683191,0.780828,0.34679,3.324291,1.426026,0.631294,0.62136,0.25807,3.292435,2.762989,1.04387,0.444051,0.333103,5.452952,2.786135,1.453371,1.250952,1.450524,concentrate
11.2776,2.380397,1.863689,1.402361,0.838256,5.56366,3.436572,0.828899,0.287737,0.322689,2.795879,2.009173,0.548484,0.30401,0.15871,3.802086,3.076504,0.865105,0.341443,0.200097,4.730523,3.526021,0.756378,0.833721,0.378951,3.472733,1.447984,0.718932,0.632177,0.268511,3.460228,3.043102,1.024447,0.431782,0.343496,5.04289,2.629619,1.611471,1.29298,1.484387,concentrate
8.012068,2.681443,1.825096,1.414721,0.855699,5.256044,3.432911,0.827951,0.331655,0.318059,2.622203,2.116208,0.53807,0.297546,0.158074,3.614759,3.224232,0.879566,0.368612,0.19076,4.433409,3.672289,0.792527,0.856154,0.404922,3.407519,1.526947,0.798003,0.618083,0.272849,3.430426,3.139738,0.948706,0.426239,0.33535,4.624522,2.512755,1.697462,1.254892,1.43968,concentrate
5.288413,3.069352,1.68132,1.340673,0.823379,4.439111,3.598478,0.752595,0.365337,0.306224,2.319844,2.431322,0.489973,0.283013,0.158036,3.161615,3.583614,0.788612,0.383082,0.183215,3.909942,3.620295,0.78815,0.841189,0.423556,3.180516,1.665533,0.857813,0.583293,0.269953,3.26475,3.084819,0.846393,0.429544,0.313735,4.307822,2.467467,1.710311,1.134116,1.323252,concentrate
3.558612,3.472956,1.485535,1.188545,0.749468,3.335363,3.837161,0.642436,0.381475,0.293449,2.002913,2.869984,0.437244,0.262028,0.158444,2.587962,4.040283,0.636433,0.383884,0.181444,3.346062,3.464881,0.764796,0.791557,0.432882,2.871166,1.79512,0.894712,0.535861,0.261186,3.030108,2.952327,0.760509,0.440757,0.28728,4.119916,2.449334,1.676682,0.968183,1.162641,concentrate
2.551369,3.759425,1.289602,0.99332,0.651468,2.260214,4.034364,0.545332,0.378424,0.285863,1.786945,3.301483,0.411919,0.239582,0.159083,2.072676,4.44663,0.488349,0.373278,0.186517,2.91911,3.277971,0.756091,0.720345,0.429492,2.5882,1.827225,0.914842,0.486289,0.250734,2.782185,2.802841,0.726792,0.456216,0.263994,4.071639,2.384354,1.6308,0.81313,0.999623,concentrate
2.18228,3.827346,1.132464,0.801166,0.552586,1.494955,4.104274,0.490203,0.359834,0.286941,1.728761,3.601975,0.429527,0.222296,0.160688,1.738447,4.679024,0.395126,0.355423,0.197665,2.695769,3.098634,0.776892,0.645601,0.410057,2.411034,1.749588,0.931457,0.447129,0.243972,2.555518,2.671549,0.743661,0.469939,0.247647,4.134335,2.271419,1.595615,0.709923,0.873867,concentrate
2.156684,3.661687,1.01128,0.644862,0.474974,1.157048,4.046532,0.465475,0.332488,0.296509,1.783305,3.721613,0.475586,0.216614,0.164384,1.592238,4.710657,0.367546,0.334241,0.213564,2.65421,2.920489,0.814714,0.583707,0.375675,2.365292,1.636268,0.944961,0.4314,0.245044,2.356736,2.559406,0.774378,0.476641,0.237592,4.230021,2.1916,1.564799,0.670269,0.80473,concentrate
2.262284,3.467945,0.920016,0.543443,0.433822,1.210657,3.9869,0.453418,0.304483,0.30998,1.859443,3.732711,0.525212,0.226551,0.17025,1.574494,4.630547,0.389196,0.313659,0.231569,2.683841,2.761445,0.849006,0.542123,0.334142,2.393995,1.641464,0.954083,0.446791,0.254379,2.186566,2.479132,0.785584,0.473128,0.232214,4.252915,2.315331,1.531951,0.675412,0.786102,concentrate
2.483623,3.55463,0.828343,0.497351,0.433022,1.511955,4.093727,0.43097,0.281217,0.320885,1.886894,3.787448,0.549862,0.249919,0.176828,1.603066,4.587774,0.421293,0.295067,0.247715,2.703651,2.696407,0.85997,0.512503,0.296506,2.434959,1.93787,0.943172,0.485695,0.268789,2.06237,2.472178,0.760543,0.455211,0.23061,4.154487,2.833261,1.467488,0.691418,0.794014,concentrate
2.591967,4.146867,0.722993,0.498119,0.462735,1.895666,4.473127,0.391698,0.263766,0.323807,1.856074,4.010495,0.539555,0.279098,0.181295,1.630892,4.703937,0.433698,0.278166,0.257308,2.6654,2.800539,0.837728,0.475079,0.2712,2.45452,2.579613,0.894014,0.525947,0.284247,2.011353,2.581119,0.696782,0.418084,0.231508,3.926724,3.812897,1.345302,0.680826,0.799012,concentrate
2.852568,5.213766,0.636112,0.543504,0.505243,2.262777,5.089447,0.347241,0.24977,0.315913,1.807925,4.399586,0.504044,0.302678,0.180476,1.667571,4.986652,0.416263,0.259647,0.255895,2.602815,3.054413,0.785172,0.419201,0.261076,2.454985,3.424044,0.806795,0.543219,0.298145,2.04633,2.783579,0.600462,0.363181,0.234215,3.640301,5.086101,1.167208,0.63514,0.786109,concentrate
3.045302,6.418115,0.576098,0.632662,0.54223,2.528574,5.725441,0.308853,0.23874,0.296021,1.798891,4.800647,0.45464,0.311733,0.172224,1.724753,5.294086,0.369871,0.236971,0.240778,2.562304,3.360286,0.721552,0.35206,0.263516,2.449617,4.186385,0.696193,0.526457,0.309353,2.168142,3.010355,0.489833,0.300031,0.23741,3.362717,6.280128,0.964774,0.579568,0.753563,concentrate
3.320348,7.270426,0.544538,0.757597,0.559754,2.62329,6.057071,0.282994,0.231,0.265095,1.825911,4.969706,0.405523,0.303604,0.157495,1.782376,5.392546,0.309317,0.210674,0.213232,2.656196,3.563503,0.66397,0.290518,0.272203,2.480861,4.58149,0.586604,0.479543,0.317755,2.366822,3.136367,0.38438,0.24157,0.238206,3.219601,6.982697,0.774863,0.547583,0.707686,concentrate
3.457314,7.388246,0.52876,0.902199,0.553693,2.54181,5.842035,0.27648,0.227733,0.227402,1.869533,4.7197,0.36982,0.28237,0.140187,1.812308,5.094942,0.25864,0.184899,0.178856,2.93059,3.517241,0.612907,0.249271,0.281597,2.547755,4.462275,0.502584,0.415486,0.322409,2.611763,3.031178,0.293335,0.198165,0.233823,3.267524,6.950004,0.626366,0.559827,0.663554,concentrate
3.377585,6.707937,0.523145,1.041615,0.533557,2.363683,5.074397,0.294478,0.233927,0.190962,1.883828,4.050471,0.35217,0.258141,0.125789,1.807589,4.389352,0.236813,0.168054,0.146344,3.339575,3.198289,0.560925,0.23233,0.291857,2.618169,3.878754,0.465643,0.351498,0.322597,2.877181,2.666857,0.221454,0.173627,0.226774,3.504853,6.210252,0.529113,0.613607,0.642919,concentrate
3.215592,5.434782,0.52467,1.142846,0.517618,2.138178,3.956528,0.326449,0.254027,0.164416,1.834577,3.126479,0.344947,0.24128,0.118711,1.748647,3.43873,0.243564,0.168457,0.12391,3.762411,2.730162,0.505937,0.232705,0.306713,2.659039,3.026115,0.475689,0.300356,0.319235,3.095312,2.132307,0.172825,0.163014,0.223974,3.868566,5.024214,0.477071,0.685744,0.663211,concentrate
2.899516,3.967131,0.544832,1.175438,0.519394,1.987729,2.839154,0.360987,0.285732,0.153736,1.761898,2.219161,0.345266,0.235592,0.119712,1.701545,2.529621,0.271259,0.187943,0.115846,4.00599,2.337877,0.454159,0.238771,0.327764,2.585061,2.174005,0.521026,0.270248,0.314299,3.191728,1.615677,0.153033,0.156921,0.231503,4.192242,3.785833,0.453987,0.754786,0.729688,concentrate
2.692237,2.695213,0.602221,1.124653,0.538101,1.979187,2.065588,0.383828,0.317562,0.158655,1.736597,1.567141,0.351339,0.23597,0.125674,1.712945,1.932388,0.303381,0.218574,0.120551,4.001044,2.200495,0.413364,0.23975,0.351931,2.439508,1.537885,0.581261,0.258825,0.310131,3.14425,1.28859,0.160595,0.146388,0.25009,4.373105,2.813488,0.438742,0.814833,0.831289,concentrate
2.678383,1.857125,0.715975,0.999106,0.560066,2.157725,1.82947,0.392625,0.337401,0.17261,1.812745,1.280574,0.375268,0.234194,0.132384,1.815834,1.785044,0.335264,0.249442,0.131835,3.799657,2.346619,0.388888,0.232712,0.372036,2.283736,1.190415,0.653258,0.258248,0.309002,3.00008,1.228191,0.187279,0.129535,0.273896,4.383274,2.236254,0.429065,0.871509,0.94215,concentrate
2.862707,1.488279,0.904218,0.833206,0.569402,2.488662,2.10609,0.406748,0.337904,0.186808,1.994562,1.310685,0.440854,0.22439,0.136838,1.996929,2.037735,0.381842,0.270666,0.142727,3.60109,2.653069,0.382011,0.222479,0.379204,2.21553,1.06262,0.752065,0.262185,0.311253,2.867778,1.396704,0.226095,0.112104,0.292333,4.31792,1.983832,0.447371,0.93363,1.029045,concentrate
3.207072,1.461087,1.145233,0.672222,0.555564,2.84553,2.675086,0.444793,0.318791,0.194062,2.209584,1.507769,0.553744,0.206939,0.137632,2.175457,2.491324,0.455308,0.277132,0.14823,3.581106,2.937291,0.38708,0.215568,0.367531,2.285281,1.053992,0.873965,0.266083,0.314573,2.829854,1.680855,0.271937,0.101264,0.295146,4.254642,1.918951,0.506112,1.002029,1.064513,concentrate
3.416946,1.604302,1.386631,0.557088,0.517107,3.046495,3.259482,0.513431,0.290265,0.19197,2.316311,1.723574,0.693589,0.189025,0.13408,2.234105,2.921829,0.553682,0.273,0.146622,3.726393,3.064579,0.39567,0.217134,0.338489,2.425441,1.10732,0.991614,0.26697,0.315655,2.860224,1.955524,0.31805,0.102374,0.278712,4.17318,1.913558,0.591978,1.060313,1.037651,concentrate
3.323282,1.752919,1.577522,0.507111,0.462362,3.004943,3.634188,0.613532,0.267591,0.183369,2.200616,1.852382,0.835133,0.179373,0.126351,2.11217,3.161583,0.669407,0.267272,0.138819,3.871713,3.005877,0.409503,0.227166,0.299149,2.498293,1.198514,1.080718,0.265447,0.311393,2.8481,2.133414,0.362573,0.116575,0.248856,3.937033,1.891487,0.685764,1.084613,0.961697,concentrate
2.998107,1.810703,1.673928,0.515106,0.405492,2.78502,3.669692,0.729394,0.261578,0.174625,1.889214,1.841687,0.944598,0.182265,0.115662,1.875425,3.131111,0.777012,0.266323,0.127451,3.830077,2.859291,0.441215,0.241923,0.258557,2.42939,1.339972,1.119949,0.269284,0.300725,2.687264,2.208506,0.409461,0.141425,0.218054,3.488316,1.897608,0.758885,1.058789,0.871122,concentrate
2.61632,1.740123,1.648717,0.559114,0.363783,2.560287,3.355676,0.83829,0.273154,0.172656,1.522728,1.685378,0.993962,0.196961,0.104142,1.666467,2.839046,0.848033,0.271338,0.116415,3.548718,2.79315,0.498963,0.257376,0.223884,2.316065,1.541963,1.098482,0.289912,0.284662,2.358023,2.242004,0.459148,0.174613,0.1986,2.929988,1.999613,0.779411,0.988279,0.807359,concentrate
2.427894,1.583032,1.515496,0.619127,0.353501,2.527483,2.785588,0.914234,0.292574,0.181459,1.278488,1.413809,0.973413,0.217876,0.094996,1.63145,2.361465,0.861949,0.277783,0.109973,3.126616,2.94962,0.574244,0.27205,0.198862,2.327309,1.786359,1.025602,0.331839,0.26461,1.943578,2.303125,0.501842,0.216577,0.195987,2.46566,2.223654,0.743036,0.897075,0.80121,concentrate
2.929228,1.446383,1.326929,0.685989,0.378962,2.752117,2.120614,0.941546,0.312445,0.199314,1.269392,1.088207,0.891901,0.241239,0.091166,1.826879,1.81999,0.816868,0.283951,0.111331,2.715996,3.395975,0.650931,0.285166,0.183246,2.585058,2.039504,0.922944,0.386374,0.241366,1.556978,2.451675,0.527388,0.270047,0.20597,2.26239,2.54267,0.673054,0.815657,0.867075,concentrate
4.542812,1.436463,1.153972,0.75817,0.429782,3.131862,1.521322,0.920879,0.329925,0.219887,1.448479,0.779528,0.77487,0.265993,0.09361,2.153407,1.336558,0.730486,0.292041,0.121193,2.414149,4.10347,0.705382,0.297397,0.173519,3.028238,2.245482,0.819774,0.435124,0.216133,1.285851,2.732347,0.526497,0.335568,0.2175,2.320867,2.871997,0.605111,0.767175,0.999702,concentrate
7.06179,1.595401,1.047487,0.836133,0.488046,3.447531,1.075244,0.860193,0.350158,0.235448,1.677611,0.537011,0.646048,0.292418,0.100708,2.418061,0.979067,0.623917,0.308603,0.137325,2.233193,4.91713,0.716459,0.311058,0.166858,3.466292,2.352395,0.742698,0.459611,0.191861,1.176221,3.122811,0.496755,0.407793,0.219932,2.505454,3.10913,0.576134,0.75987,1.176897,concentrate
10.019354,1.897329,1.011655,0.920276,0.53788,3.507708,0.816328,0.772311,0.381359,0.240704,1.787733,0.394248,0.515098,0.31885,0.110215,2.469722,0.774465,0.513747,0.34077,0.1558,2.119088,5.62643,0.670197,0.326914,0.16385,3.665798,2.332093,0.694725,0.453729,0.173012,1.2033,3.547514,0.442912,0.475561,0.209366,2.611637,3.18871,0.600839,0.787939,1.364574,concentrate
12.736197,2.294956,1.006058,1.008381,0.568357,3.254646,0.757279,0.67556,0.427123,0.234406,1.704968,0.373548,0.389098,0.342929,0.120314,2.270066,0.726434,0.42005,0.390537,0.172116,2.047722,6.049507,0.58161,0.344739,0.167152,3.570478,2.214055,0.672797,0.430699,0.163764,1.3223,3.908681,0.383715,0.526298,0.190075,2.577213,3.122908,0.665283,0.834622,1.524634,concentrate
14.175183,2.775422,1.003826,1.108621,0.574877,2.778656,0.892384,0.594718,0.495689,0.219838,1.469363,0.491784,0.288136,0.372276,0.131415,1.909638,0.819223,0.365581,0.462278,0.183057,2.047419,6.076826,0.489463,0.366644,0.179146,3.333372,2.117138,0.688514,0.420164,0.16646,1.484854,4.099558,0.343714,0.554407,0.171242,2.535285,3.020176,0.74951,0.88649,1.626128,concentrate
14.05589,3.396276,1.009567,1.227266,0.559711,2.2054,1.253585,0.549763,0.590079,0.202348,1.161561,0.775373,0.23457,0.415098,0.145258,1.494769,1.081206,0.35906,0.554541,0.187404,2.186268,5.730935,0.440209,0.3977,0.200002,3.260248,2.235783,0.750555,0.446686,0.180204,1.678048,4.065856,0.342741,0.565036,0.162305,2.811361,3.09616,0.821283,0.940109,1.649166,concentrate
12.644737,4.22243,1.029796,1.354967,0.529489,1.707352,1.879916,0.553704,0.705672,0.187082,0.886733,1.234927,0.242655,0.473226,0.162943,1.184981,1.564154,0.403064,0.658291,0.18639,2.498973,5.144051,0.458897,0.440666,0.226177,3.588959,2.744298,0.858113,0.512794,0.201384,1.912098,3.822413,0.384706,0.568484,0.167252,3.700481,3.569002,0.862015,0.999439,1.588806,concentrate
10.179759,5.155876,1.047439,1.468857,0.492968,1.390292,2.73032,0.602721,0.82212,0.177014,0.713949,1.81441,0.308702,0.537336,0.182662,1.076528,2.256424,0.489867,0.752099,0.182903,2.952736,4.471482,0.533372,0.490775,0.251656,4.297879,3.673591,0.978057,0.595677,0.22508,2.211514,3.418746,0.451454,0.572724,0.182784,5.239876,4.464275,0.866839,1.070968,1.457786,concentrate
7.582136,5.966627,1.035365,1.539392,0.456223,1.276232,3.648771,0.667144,0.913402,0.172225,0.669502,2.38602,0.404581,0.592588,0.199184,1.183829,3.038892,0.589855,0.812184,0.179629,3.455944,3.836668,0.623969,0.536111,0.271057,5.131713,4.866066,1.054705,0.65707,0.246425,2.611177,2.935922,0.517344,0.579557,0.201205,7.138366,5.559054,0.839483,1.15641,1.288503,concentrate
5.719491,6.430822,0.975781,1.539578,0.42189,1.326851,4.420637,0.709017,0.959019,0.170895,0.745384,2.795086,0.489848,0.622879,0.206609,1.451113,3.721292,0.664676,0.823165,0.178839,3.906445,3.316144,0.693993,0.561368,0.281176,5.767409,6.081874,1.051507,0.66529,0.261077,3.086168,2.464126,0.565188,0.582825,0.214445,8.89052,6.542825,0.794259,1.247744,1.124069,concentrate
4.564427,6.414674,0.866501,1.456445,0.391056,1.485381,4.862425,0.705932,0.947981,0.171468,0.91403,2.924487,0.53117,0.618126,0.201504,1.781863,4.124146,0.687032,0.782061,0.181927,4.2012,2.964786,0.729454,0.553441,0.280814,5.938912,7.083918,0.96915,0.614262,0.265269,3.520157,2.093723,0.594449,0.57081,0.217366,9.91993,7.143341,0.749989,1.321964,0.99863,concentrate
4.335468,5.96566,0.723416,1.300422,0.365675,1.682151,4.911137,0.657553,0.882534,0.174561,1.15003,2.752458,0.518617,0.580292,0.185529,2.072155,4.170928,0.654613,0.69918,0.189663,4.282836,2.847578,0.734454,0.509661,0.270671,5.597203,7.698411,0.830268,0.524675,0.257338,3.75544,1.918064,0.613119,0.536562,0.209099,9.856784,7.21534,0.716038,1.35195,0.922977,concentrate
4.356217,5.265203,0.580548,1.104663,0.351802,1.857896,4.673523,0.588605,0.78041,0.182162,1.439705,2.373244,0.471298,0.521329,0.164707,2.254822,3.945263,0.590217,0.596189,0.201418,4.137857,3.000704,0.71664,0.440189,0.252808,4.911633,7.868562,0.662716,0.429231,0.238605,3.682763,1.973109,0.619781,0.483117,0.192239,8.733749,6.807901,0.678001,1.312798,0.886728,concentrate
4.526269,4.534017,0.481784,0.916535,0.355041,1.979661,4.342783,0.534665,0.664955,0.194871,1.771476,1.945257,0.423576,0.45544,0.146438,2.320173,3.627633,0.527898,0.49449,0.214351,3.808255,3.372653,0.683772,0.363244,0.22994,4.221914,7.670504,0.492105,0.358657,0.212601,3.313306,2.209445,0.611186,0.421417,0.171415,6.98464,6.129714,0.631356,1.198406,0.871339,concentrate
4.915645,3.975943,0.44838,0.785015,0.377287,2.038932,4.085175,0.527418,0.557619,0.209791,2.118817,1.613413,0.403929,0.393299,0.135117,2.300555,3.385755,0.498743,0.408407,0.223781,3.328651,3.806214,0.656449,0.300973,0.204863,3.780352,7.209451,0.34831,0.332042,0.184756,2.74491,2.504975,0.595215,0.369046,0.151013,5.168923,5.407017,0.589956,1.037224,0.865898,concentrate
5.419229,3.674443,0.469485,0.738428,0.416416,2.040403,3.953554,0.572899,0.467664,0.221554,2.425373,1.438494,0.416571,0.337846,0.130197,2.240589,3.279957,0.510368,0.340199,0.224828,2.732461,4.099818,0.640727,0.270793,0.180645,3.622655,6.581544,0.248416,0.347917,0.161484,2.105097,2.71529,0.572667,0.344499,0.133599,3.692054,4.765072,0.56812,0.877383,0.863959,concentrate
5.617647,3.569634,0.516067,0.777759,0.467197,2.007257,3.884435,0.641301,0.393597,0.224853,2.63678,1.385383,0.442811,0.288939,0.128583,2.176554,3.247555,0.539008,0.28412,0.21505,2.137325,4.117423,0.620445,0.278073,0.160709,3.647638,5.856999,0.194904,0.393844,0.148385,1.572525,2.749674,0.537413,0.358325,0.119524,2.781625,4.212643,0.576494,0.775705,0.863136,concentrate
5.362424,3.517499,0.553693,0.880473,0.520919,1.959016,3.761767,0.683468,0.332463,0.217173,2.701278,1.369264,0.452938,0.248155,0.127298,2.122453,3.160295,0.546717,0.236131,0.195635,1.62253,3.809905,0.584159,0.314195,0.147892,3.658159,5.084572,0.178146,0.451615,0.149171,1.194044,2.578876,0.499622,0.406779,0.108508,2.34276,3.675035,0.610319,0.768954,0.863152,concentrate
4.747642,3.429211,0.565447,1.00643,0.56528,1.886104,3.512363,0.653838,0.284068,0.200477,2.59831,1.334597,0.421062,0.222338,0.124882,2.044178,2.947568,0.501127,0.197489,0.170347,1.232492,3.262678,0.532682,0.359728,0.143139,3.509013,4.300835,0.181949,0.502556,0.164696,0.953804,2.266698,0.477569,0.469251,0.100791,2.175676,3.096558,0.645699,0.854374,0.862244,concentrate
4.05211,3.295272,0.564226,1.107932,0.587003,1.756557,3.1882,0.551678,0.25299,0.180392,2.334455,1.297421,0.351884,0.22165,0.121576,1.896041,2.677056,0.406127,0.175808,0.144405,0.963581,2.637425,0.477711,0.397202,0.145781,3.147344,3.548771,0.194412,0.536162,0.193005,0.78817,1.916605,0.484713,0.521679,0.096823,2.049846,2.509412,0.655579,1.001193,0.85524,concentrate
3.823542,3.132971,0.578915,1.144892,0.57761,1.553623,2.980189,0.415386,0.237745,0.163078,1.947104,1.337206,0.271146,0.245204,0.118092,1.648594,2.549319,0.295968,0.172686,0.122939,0.788622,2.09764,0.43543,0.4114,0.153712,2.622964,2.850016,0.209805,0.546923,0.230291,0.655711,1.620512,0.52435,0.540988,0.09674,1.843106,1.99615,0.624793,1.150471,0.835432,concentrate
4.179641,2.968058,0.623929,1.102375,0.536302,1.300182,3.109794,0.301094,0.234074,0.151828,1.520719,1.548283,0.207347,0.283991,0.114501,1.331229,2.773944,0.21372,0.184082,0.109019,0.702293,1.745402,0.424244,0.397353,0.163735,2.062981,2.203425,0.226,0.537098,0.27145,0.563081,1.42408,0.590966,0.514702,0.100048,1.548001,1.621715,0.567285,1.246869,0.805977,concentrate
5.193906,2.840917,0.695482,0.999711,0.47387,1.038764,3.719716,0.258514,0.23919,0.146348,1.143948,1.98005,0.186975,0.32566,0.110951,1.010802,3.457206,0.194755,0.20468,0.103771,0.725611,1.609927,0.450757,0.364383,0.172816,1.597073,1.619267,0.245796,0.515255,0.309796,0.543523,1.339828,0.668499,0.448261,0.106156,1.256917,1.419964,0.509148,1.263205,0.790975,concentrate
