POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
5.308705,1.679891,1.11412,1.21946,0.83521,4.810726,1.703201,2.115519,0.714751,0.412639,1.980602,1.038401,1.047283,0.57812,0.215878,3.233988,1.358965,1.671725,0.576852,0.237656,10.000994,2.709081,1.858099,0.578992,0.184702,6.493485,1.557754,1.590601,0.695336,0.253661,6.890227,2.669362,2.079974,0.523311,0.186934,7.364997,2.427026,2.205216,1.178217,0.839989,concentrate
5.053272,1.722327,1.206806,1.240169,0.812383,5.164122,1.925609,2.171762,0.632363,0.39358,2.041228,0.901746,0.951096,0.610187,0.202149,3.532195,1.343269,1.652626,0.572758,0.230958,11.425237,2.895055,2.109129,0.641032,0.177634,6.934556,1.425709,1.812014,0.779652,0.261063,7.806552,2.786228,2.173767,0.561021,0.191185,7.419255,2.280664,2.061021,1.329515,0.844955,concentrate
4.703864,1.750671,1.342304,1.213056,0.733115,5.231093,2.162752,2.061262,0.542891,0.351424,2.103315,0.905854,0.933919,0.657608,0.176916,3.711428,1.466104,1.534344,0.563163,0.212332,11.569777,2.898805,2.24339,0.686243,0.163122,6.942185,1.281934,2.046674,0.8447,0.254576,7.87585,2.685201,2.103691,0.570141,0.191667,6.928142,2.010799,1.923769,1.447713,0.830573,concentrate
4.266706,1.739874,1.465774,1.140262,0.622575,4.942566,2.277794,1.815245,0.46659,0.293803,2.093048,0.96734,0.967427,0.717299,0.14609,3.671816,1.590189,1.343613,0.549468,0.187559,10.355951,2.700736,2.270221,0.703975,0.147306,6.455139,1.184543,2.22459,0.894511,0.240443,7.023247,2.406758,1.925161,0.548573,0.188502,6.035524,1.774329,1.825581,1.503071,0.811058,concentrate
3.585036,1.689296,1.521505,1.035643,0.513807,4.344115,2.219019,1.498482,0.410793,0.234525,1.976896,1.024345,1.00618,0.768747,0.117887,3.382864,1.626485,1.115343,0.525701,0.164212,8.182893,2.354687,2.234592,0.685811,0.136177,5.57132,1.175096,2.329293,0.935571,0.229546,5.515135,2.038271,1.7242,0.503885,0.182822,5.024177,1.699042,1.79226,1.483187,0.796879,concentrate
2.947139,1.618455,1.482113,0.926337,0.432618,3.570028,2.000323,1.185015,0.381387,0.186277,1.777529,1.035617,1.017032,0.789826,0.09919,2.89428,1.539703,0.888129,0.491496,0.148959,5.737415,1.979471,2.188959,0.627659,0.132139,4.523163,1.274513,2.377801,0.963944,0.230798,3.813866,1.692506,1.578014,0.445943,0.176206,4.172996,1.829913,1.838058,1.405003,0.787235,concentrate
2.349055,1.544552,1.358722,0.838289,0.386755,2.811255,1.684554,0.926936,0.384152,0.157425,1.552016,0.986318,0.984233,0.768559,0.094007,2.324209,1.349278,0.684221,0.454839,0.146289,3.684037,1.658397,2.156553,0.54203,0.13278,3.573825,1.421875,2.395588,0.970437,0.245705,2.373366,1.42741,1.512833,0.389196,0.169701,3.628592,2.090245,1.955549,1.309788,0.772487,concentrate
1.957899,1.464917,1.181064,0.784139,0.36924,2.253935,1.352103,0.761573,0.42431,0.15109,1.366505,0.88904,0.916912,0.705854,0.102538,1.825902,1.116576,0.529211,0.428281,0.15719,2.346246,1.413326,2.126129,0.458579,0.133128,2.889101,1.510989,2.386527,0.942548,0.267231,1.432655,1.235936,1.503793,0.350533,0.163643,3.351314,2.310611,2.104275,1.245983,0.740849,concentrate
2.190374,1.35997,0.986262,0.764977,0.367521,2.033874,1.065118,0.708823,0.500065,0.166616,1.266212,0.779495,0.84631,0.616684,0.121975,1.534088,0.906735,0.45243,0.421938,0.180138,1.667004,1.231147,2.086302,0.410578,0.129847,2.50456,1.478691,2.340443,0.872709,0.284223,0.973453,1.076255,1.515682,0.344685,0.158362,3.151538,2.336067,2.2364,1.251875,0.689939,concentrate
3.205134,1.227118,0.824678,0.776578,0.370112,2.158603,0.852484,0.773055,0.595554,0.201477,1.26109,0.69052,0.808662,0.523922,0.147872,1.497375,0.756094,0.468202,0.436081,0.212834,1.388932,1.059629,2.055057,0.420886,0.123844,2.35156,1.324656,2.258329,0.773173,0.287412,0.819816,0.891788,1.530046,0.376599,0.154472,2.874949,2.100955,2.318314,1.341868,0.626681,concentrate
